t_ms,frames,rms_in,gain
2879.427,512,0.127884,0.2000
2890.080,512,0.146603,0.2000
2900.757,512,0.123722,0.2000
2911.434,512,0.264419,0.2000
2922.073,512,0.243806,0.2000
2932.762,512,0.184986,0.2000
2943.413,512,0.225282,0.2000
2954.073,512,0.173178,0.2000
2964.755,512,0.176657,0.2000
2975.428,512,0.142044,0.2000
2986.090,512,0.149524,0.2000
2996.769,512,0.151283,0.2000
3007.404,512,0.168416,0.2000
3018.083,512,0.125858,0.2000
3028.746,512,0.163463,0.2000
3039.390,512,0.129340,0.2000
3050.083,512,0.163180,0.2000
3060.747,512,0.143963,0.2000
3071.438,512,0.154524,0.2000
3082.114,512,0.154311,0.2000
3092.773,512,0.138915,0.2000
3103.407,512,0.156463,0.2000
3114.069,512,0.133972,0.2000
3124.746,512,0.160438,0.2000
3135.411,512,0.142009,0.2000
3146.118,512,0.126328,0.2000
3156.751,512,0.145927,0.2000
3167.414,512,0.128528,0.2000
3178.114,512,0.145289,0.2000
3188.734,512,0.127399,0.2000
3199.438,512,0.134321,0.2000
3210.103,512,0.113379,0.2000
3220.760,512,0.130319,0.2000
3231.451,512,0.120746,0.2000
3242.067,512,0.136928,0.2000
3252.737,512,0.113458,0.2000
3263.447,512,0.131711,0.2000
3274.086,512,0.109389,0.2000
3284.746,512,0.116710,0.2000
3295.416,512,0.116312,0.2000
3306.068,512,0.151096,0.2000
3316.746,512,0.174746,0.2000
3327.407,512,0.193345,0.2000
3338.070,512,0.176702,0.2000
3348.731,512,0.191273,0.2000
3359.401,512,0.177815,0.2000
3370.082,512,0.165681,0.2000
3380.749,512,0.170908,0.2000
3391.413,512,0.164469,0.2000
3402.071,512,0.151912,0.2000
3412.739,512,0.156874,0.2000
3423.408,512,0.167063,0.2000
3434.059,512,0.150296,0.2000
3444.737,512,0.161050,0.2000
3455.399,512,0.147106,0.2000
3466.110,512,0.133618,0.2000
3476.768,512,0.154800,0.2000
3487.408,512,0.139264,0.2000
3498.110,512,0.149571,0.2000
3508.747,512,0.140150,0.2000
3519.389,512,0.133179,0.2000
3530.076,512,0.144032,0.2000
3540.844,512,0.134157,0.2000
3551.414,512,0.136969,0.2000
3562.097,512,0.134462,0.2000
3572.741,512,0.142223,0.2000
3583.447,512,0.130028,0.2000
3594.066,512,0.120928,0.2000
3604.745,512,0.144857,0.2000
3615.427,512,0.132537,0.2000
3626.096,512,0.136146,0.2000
3636.776,512,0.127711,0.2000
3647.399,512,0.125561,0.2000
3658.134,512,0.120267,0.2000
3668.735,512,0.116653,0.2000
3679.419,512,0.125386,0.2000
3690.067,512,0.117070,0.2000
3700.750,512,0.162767,0.2000
3711.386,512,0.213537,0.2000
3722.056,512,0.215683,0.2000
3732.728,512,0.246298,0.2000
3743.398,512,0.229314,0.2000
3754.070,512,0.280380,0.2000
3764.730,512,0.268530,0.2000
3775.408,512,0.217783,0.2000
3786.063,512,0.206079,0.2000
3796.722,512,0.239839,0.2000
3807.388,512,0.186986,0.2000
3818.079,512,0.219045,0.2000
3828.743,512,0.200889,0.2000
3839.462,512,0.209806,0.2000
3850.104,512,0.228049,0.2000
3860.713,512,0.196203,0.2000
3871.458,512,0.249542,0.2000
3882.117,512,0.197862,0.2000
3892.718,512,0.244639,0.2000
3903.409,512,0.146081,0.2000
3914.057,512,0.245434,0.2000
3924.784,512,0.146364,0.2000
3935.404,512,0.254089,0.2000
3946.098,512,0.196063,0.2000
3956.718,512,0.236404,0.2000
3967.420,512,0.160412,0.2000
3978.102,512,0.246065,0.2000
3988.753,512,0.153913,0.2000
3999.415,512,0.237130,0.2000
4010.155,512,0.152545,0.2000
4020.757,512,0.216108,0.2000
4031.412,512,0.184273,0.2000
4042.054,512,0.205937,0.2000
4052.770,512,0.179394,0.2000
4063.418,512,0.191536,0.2000
4074.084,512,0.177967,0.2000
4084.735,512,0.185285,0.2000
4095.432,512,0.172129,0.2000
4106.075,512,0.169102,0.2000
4116.727,512,0.169812,0.2000
4127.385,512,0.171368,0.2000
4138.061,512,0.163028,0.2000
4148.717,512,0.177430,0.2000
4159.404,512,0.168749,0.2000
4170.053,512,0.162051,0.2000
4180.746,512,0.149621,0.2000
4191.378,512,0.156950,0.2000
4202.064,512,0.156296,0.2000
4212.731,512,0.147748,0.2000
4223.399,512,0.165455,0.2000
4234.061,512,0.155792,0.2000
4244.746,512,0.178821,0.2000
4255.375,512,0.135728,0.2000
4266.081,512,0.181353,0.2000
4276.755,512,0.141730,0.2000
4287.375,512,0.175528,0.2000
4298.052,512,0.172460,0.2000
4308.705,512,0.187009,0.2000
4319.376,512,0.156214,0.2000
4330.065,512,0.168747,0.2000
4340.738,512,0.144456,0.2000
4351.377,512,0.160080,0.2000
4362.086,512,0.143216,0.2000
4372.722,512,0.146177,0.2000
4383.380,512,0.135112,0.2000
4394.047,512,0.147329,0.2000
4404.697,512,0.127773,0.2000
4415.373,512,0.156733,0.2000
4426.045,512,0.126014,0.2000
4436.728,512,0.154175,0.2000
4447.391,512,0.134610,0.2000
4458.091,512,0.133645,0.2000
4468.734,512,0.133227,0.2000
4479.375,512,0.145716,0.2000
4490.068,512,0.127060,0.2000
4500.775,512,0.142622,0.2000
4511.370,512,0.122429,0.2000
4522.031,512,0.142447,0.2000
4532.702,512,0.134186,0.2000
4543.360,512,0.135508,0.2000
4554.041,512,0.126448,0.2000
4564.688,512,0.133917,0.2000
4575.359,512,0.136376,0.2000
4586.020,512,0.126279,0.2000
4596.702,512,0.125519,0.2000
4607.382,512,0.133624,0.2000
4618.034,512,0.144626,0.2000
4628.689,512,0.136147,0.2000
4639.357,512,0.145329,0.2000
4650.017,512,0.129011,0.2000
4660.693,512,0.142217,0.2000
4671.367,512,0.122676,0.2000
4682.048,512,0.135659,0.2000
4692.705,512,0.136198,0.2000
4703.375,512,0.131885,0.2000
4714.036,512,0.130503,0.2000
4725.886,512,0.119681,0.2000
4735.358,512,0.132431,0.2000
4746.072,512,0.122139,0.2000
4756.683,512,0.141842,0.2000
4767.625,512,0.122889,0.2000
4778.051,512,0.132566,0.2000
4788.710,512,0.118991,0.2000
4799.382,512,0.128503,0.2000
4810.032,512,0.117306,0.2000
4820.686,512,0.135963,0.2000
4831.365,512,0.117147,0.2000
4842.025,512,0.129160,0.2000
4852.684,512,0.112020,0.2000
4863.401,512,0.120954,0.2000
4874.033,512,0.103418,0.2000
4884.711,512,0.146594,0.2000
4895.363,512,0.420894,0.2000
4906.018,512,0.514688,0.2000
4916.687,512,0.547609,0.2000
4927.358,512,0.522976,0.2000
4938.036,512,0.541274,0.2000
4948.684,512,0.417925,0.2000
4959.359,512,0.276932,0.2000
4970.027,512,0.240066,0.2000
4980.686,512,0.181381,0.2000
4991.364,512,0.181507,0.2000
5002.046,512,0.152213,0.2000
5012.712,512,0.149514,0.2000
5023.355,512,0.131270,0.2000
5034.034,512,0.126909,0.2000
5044.694,512,0.110119,0.2000
5055.361,512,0.124910,0.2000
5066.035,512,0.111503,0.2000
5076.958,512,0.132997,0.2000
5087.367,512,0.125211,0.2000
5098.029,512,0.131681,0.2000
5108.729,512,0.125598,0.2000
5119.367,512,0.109779,0.2000
5130.051,512,0.130589,0.2000
5140.689,512,0.105642,0.2000
5151.363,512,0.136634,0.2000
5162.040,512,0.111708,0.2000
5172.694,512,0.133909,0.2000
5183.343,512,0.124845,0.2000
5194.025,512,0.127372,0.2000
5204.694,512,0.118645,0.2000
5215.386,512,0.122563,0.2000
5226.031,512,0.110438,0.2000
5236.684,512,0.125332,0.2000
5247.352,512,0.111652,0.2000
5258.043,512,0.122775,0.2000
5268.684,512,0.110792,0.2000
5279.350,512,0.255910,0.2000
5290.019,512,0.253794,0.2000
5300.695,512,0.162879,0.2000
5311.684,512,0.171063,0.2000
5322.020,512,0.134454,0.2000
5332.774,512,0.126372,0.2000
5343.365,512,0.116214,0.2000
5354.032,512,0.110122,0.2000
5364.694,512,0.109819,0.2000
5375.350,512,0.124208,0.2000
5386.044,512,0.096184,0.2000
5396.871,512,0.130247,0.2000
5407.355,512,0.089654,0.2000
5418.028,512,0.126359,0.2000
5428.696,512,0.099470,0.2000
5439.429,512,0.126629,0.2000
5450.028,512,0.100549,0.2000
5460.702,512,0.117842,0.2000
5471.350,512,0.095866,0.2000
5482.017,512,0.112119,0.2000
5492.689,512,0.107844,0.2000
5503.355,512,0.123669,0.2000
5514.057,512,0.098876,0.2000
5524.850,512,0.121319,0.2000
5535.346,512,0.098277,0.2000
5546.022,512,0.118501,0.2000
5556.668,512,0.101417,0.2000
5567.354,512,0.105043,0.2000
5578.035,512,0.114194,0.2000
5588.678,512,0.109618,0.2000
5599.343,512,0.122801,0.2000
5610.031,512,0.092608,0.2000
5620.687,512,0.118112,0.2000
5631.352,512,0.085446,0.2000
5642.033,512,0.117956,0.2000
5652.686,512,0.084187,0.2000
5663.360,512,0.115073,0.2000
5674.028,512,0.090033,0.2000
5684.685,512,0.111605,0.2000
5695.349,512,0.092660,0.2000
5706.016,512,0.111637,0.2000
5716.680,512,0.089458,0.2000
5727.349,512,0.108223,0.2000
5738.007,512,0.081064,0.2000
5748.673,512,0.103792,0.2000
5759.350,512,0.086851,0.2000
5770.147,512,0.105617,0.2000
5780.691,512,0.087133,0.2000
5791.349,512,0.099986,0.2000
5802.017,512,0.092426,0.2000
5812.671,512,0.098686,0.2000
5823.350,512,0.091111,0.2000
5834.026,512,0.094716,0.2000
5844.669,512,0.102830,0.2000
5855.331,512,0.088495,0.2000
5866.017,512,0.110251,0.2000
5876.674,512,0.082856,0.2000
5887.334,512,0.107874,0.2000
5898.016,512,0.078865,0.2000
5908.661,512,0.106813,0.2000
5919.342,512,0.078227,0.2000
5929.999,512,0.100547,0.2000
5940.678,512,0.078689,0.2000
5951.339,512,0.098918,0.2000
5962.002,512,0.083764,0.2000
5972.668,512,0.095211,0.2000
5983.336,512,0.082070,0.2000
5993.996,512,0.095498,0.2000
6004.675,512,0.070810,0.2000
6015.331,512,0.090331,0.2000
6026.001,512,0.071440,0.2000
6036.653,512,0.091592,0.2000
6047.321,512,0.081960,0.2000
6057.999,512,0.087835,0.2000
6068.677,512,0.138165,0.2000
6079.346,512,0.414968,0.2000
6090.007,512,0.519363,0.2000
6100.693,512,0.536786,0.2000
6111.357,512,0.520117,0.2000
6122.009,512,0.539903,0.2000
6132.681,512,0.421889,0.2000
6143.326,512,0.284257,0.2000
6154.038,512,0.235291,0.2000
6164.687,512,0.185243,0.2000
6175.331,512,0.172677,0.2000
6185.987,512,0.162448,0.2000
6196.671,512,0.161123,0.2000
6207.340,512,0.145922,0.2000
6218.042,512,0.125572,0.2000
6228.669,512,0.122169,0.2000
6239.351,512,0.129829,0.2000
6249.991,512,0.127014,0.2000
6260.686,512,0.136099,0.2000
6271.379,512,0.126904,0.2000
6282.012,512,0.134546,0.2000
6292.931,512,0.120681,0.2000
6303.390,512,0.129790,0.2000
6313.990,512,0.124889,0.2000
6324.651,512,0.122519,0.2000
6335.346,512,0.131394,0.2000
6345.995,512,0.119687,0.2000
6356.682,512,0.131568,0.2000
6367.328,512,0.114833,0.2000
6377.998,512,0.121429,0.2000
6388.664,512,0.104557,0.2000
6399.337,512,0.127336,0.2000
6410.000,512,0.110373,0.2000
6420.663,512,0.126713,0.2000
6431.331,512,0.107978,0.2000
6442.335,512,0.121244,0.2000
6452.666,512,0.112330,0.2000
6463.332,512,0.118107,0.2000
6473.998,512,0.109938,0.2000
6484.664,512,0.122438,0.2000
6495.726,512,0.104449,0.2000
6506.029,512,0.117836,0.2000
6516.987,512,0.104719,0.2000
6527.349,512,0.116143,0.2000
6537.996,512,0.107471,0.2000
6548.721,512,0.110425,0.2000
6559.360,512,0.117410,0.2000
6570.014,512,0.107357,0.2000
6580.680,512,0.118534,0.2000
6591.371,512,0.096067,0.2000
6602.032,512,0.113381,0.2000
6612.654,512,0.096588,0.3422
6623.320,512,0.109491,0.4845
6633.980,512,0.090006,0.6267
6644.943,512,0.104415,0.7689
6655.366,512,0.092860,0.9111
6665.980,512,0.101431,1.0000
6676.664,512,0.090198,1.0000
6687.312,512,0.439263,1.0000
6697.978,512,0.535271,1.0000
6708.657,512,0.529675,1.0000
6719.317,512,0.571518,1.0000
6730.028,512,0.532033,1.0000
6740.967,512,0.431471,1.0000
6751.324,512,0.264548,1.0000
6763.247,512,0.212839,1.0000
